time,gsml 
1-1-0-1-0-1-0-1,213
1-1-0-1-0-1-1-0,214
1-1-0-1-0-1-1-1,215
1-1-0-1-1-0-0-0,216
1-1-0-1-1-0-0-1,217
1-1-0-1-1-0-1-0,218
1-1-0-1-1-0-1-1,219
1-1-0-1-1-1-0-0,220
1-1-0-1-1-1-0-1,221*
1-1-0-1-1-1-1-0,222
1-1-0-1-1-1-1-1,223
1-1-1-0-0-0-0-0,224
1-1-1-0-0-0-0-1,225
1-1-1-0-0-0-1-0,226
1-1-1-0-0-0-1-1,227
1-1-1-0-0-1-0-0,228
1-1-1-0-0-1-0-1,229
1-1-1-0-0-1-1-0,230
1-1-1-0-0-1-1-1,231
1-1-1-0-1-0-0-0,232
1-1-1-0-1-0-1-0,234
1-1-1-0-1-0-1-1,235
1-1-1-0-1-1-0-0,236
1-1-1-0-1-1-0-1,237
1-1-1-0-1-1-1-0,238*
1-1-1-0-1-1-1-1,239
1-1-1-1-0-0-0-0,240
1-1-1-1-0-0-0-1,241
1-1-1-1-0-0-1-0,242
1-1-1-1-0-0-1-1,243
1-1-1-1-0-1-0-0,244
1-1-1-1-0-1-0-1,245
1-1-1-1-0-1-1-0,246
1-1-1-1-0-1-1-1,247
1-1-1-1-1-0-0-0,248
1-1-1-1-1-0-0-1,249
1-1-1-1-1-0-1-0,250
1-1-1-1-1-0-1-1,251
1-1-1-0-1-1-1-0,252
1-1-1-1-1-1-0-1,253
1-1-1-1-1-1-1-0,254
1-1-1-1-1-1-1-1,255*
1-0-0-0-0-0-0-0-0,256
